datum,partei,rolling_average,sz_err,ci_higher,ci_lower
2012-08-21,CDU/CSU,0.356689723320158,0.0237301482213439,0.380419871541502,0.332959575098814
2012-08-21,SPD,0.283310276679842,0.0223503557312253,0.305660632411067,0.260959920948617
2012-08-21,Grüne,0.136689723320158,0.0169768577075099,0.153666581027668,0.119712865612648
2012-08-21,FDP,0.04,0.00971169960474308,0.0497116996047431,0.0302883003952569
2012-08-21,Linke,0.06,0.0117699703557312,0.0717699703557312,0.0482300296442688
2012-08-23,CDU/CSU,0.36,0.0237990804218853,0.383799080421885,0.336200919578115
2012-08-23,SPD,0.28,0.0222606460118655,0.302260646011866,0.257739353988135
2012-08-23,Grüne,0.136694133157548,0.0169809558338827,0.15367508899143,0.119713177323665
2012-08-23,FDP,0.0433058668424522,0.0101630158206987,0.053468882663151,0.0331428510217535
2012-08-23,Linke,0.06,0.0117746638101516,0.0717746638101516,0.0482253361898484
2012-08-28,CDU/CSU,0.353302601251235,0.0236957359236088,0.376998337174844,0.329606865327626
2012-08-28,SPD,0.286697398748765,0.0223851992097465,0.309082597958512,0.264312199539019
2012-08-28,Grüne,0.14339479749753,0.0172670760619032,0.160661873559434,0.126127721435627
2012-08-28,FDP,0.0433026012512348,0.0101613928218637,0.0534639940730984,0.0331412084293711
2012-08-28,Linke,0.06,0.0117665393480408,0.0717665393480408,0.0482334606519592
2012-09-04,CDU/CSU,0.36,0.0238431128018525,0.383843112801852,0.336156887198148
2012-09-04,SPD,0.286682103870327,0.022444316903738,0.309126420774065,0.26423778696659
2012-09-04,Grüne,0.143364207740655,0.0173085775719484,0.160672785312603,0.126055630168707
2012-09-04,FDP,0.0433178961296725,0.0101890406880582,0.0535069368177307,0.0331288554416143
2012-09-04,Linke,0.06,0.0117999669202779,0.0717999669202779,0.0482000330797221
2012-09-11,CDU/CSU,0.366675505469009,0.0239557142857143,0.390631219754723,0.342719791183295
2012-09-11,SPD,0.28,0.0223294365263507,0.302329436526351,0.257670563473649
2012-09-11,Grüne,0.136675505469009,0.0170316639045409,0.15370716937355,0.119643841564468
2012-09-11,FDP,0.0433244945309911,0.0101989758037786,0.0535234703347696,0.0331255187272125
2012-09-11,Linke,0.06,0.0118095061319191,0.0718095061319191,0.0481904938680809
2012-09-20,CDU/CSU,0.36,0.0238076978891821,0.383807697889182,0.336192302110818
2012-09-20,SPD,0.286691952506596,0.02240297823219,0.309094930738786,0.264288974274406
2012-09-20,Grüne,0.136691952506596,0.0169888951187335,0.15368084762533,0.119703057387863
2012-09-20,FDP,0.0433080474934037,0.0101707915567282,0.0534788390501319,0.0331372559366755
2012-09-20,Linke,0.06,0.0117756167546174,0.0717756167546174,0.0482243832453826
2012-09-21,CDU/CSU,0.366620507748104,0.0239122617870096,0.390532769535114,0.342708245961095
2012-09-21,SPD,0.280069238377844,0.0221862776129245,0.302255515990768,0.257882960764919
